52685	1527	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	AUTOCOLOMBO LACO S.N.C.	Milano (MI)	25/02/2014 17:08	35800
54603	1755	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	OFFICINA MAIOLI SNC	Lodi (LO)	25/03/2014 11:17	35837
53471	1810	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Franchin	MELZO MOTOR SERVICE SAS	Milano (MI)	07/03/2014 14:56	35820
60752	1862	Omcn	850/A	Prova giochi	OMNISERVICE S.r.l.	Rulli	B.G. S.R.L.	Brescia (BS)	27/08/2014 11:23	38898
58558	2095	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	SCALMATI FRANCO	Brescia (BS)	17/06/2014 10:32	38886
53185	2429	Ravaglioli	R 200 S	Prova giochi	OMNISERVICE S.r.l.	Bongiovanni	GARAGE SPEROTTO RENZO	Varese (VA)	04/03/2014 15:33	35827
62721	3492	Tecnotest	STARGAS 898	Analizzatore Gas	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:15	43666
61580	10159	01 dB Italia	SOLO VN	Fonometro+Calibratore	OMNISERVICE S.r.l.	Bongiovanni	AUTOFFICINA AUTORIZZATA DI MARCHESINI GIANPAOLO	Verona (VR)	16/09/2014 09:58	38822
61581	10159	01 dB Italia	SOLO VN	Contagiri	OMNISERVICE S.r.l.	Bongiovanni	AUTOFFICINA AUTORIZZATA DI MARCHESINI GIANPAOLO	Verona (VR)	16/09/2014 10:37	38823
52038	10236	01 dB Italia	SOLO VN	Fonometro+Calibratore	OMNISERVICE S.r.l.	Franchin	AUTORIMESSA PAVESE PARKING SRL	Milano (MI)	17/02/2014 17:21	35899
52030	10249	01 dB Italia	SOLO VN	Fonometro	OMNISERVICE S.r.l.	Franchin	AUTORIMESSA PAVESE PARKING SRL	Milano (MI)	17/02/2014 16:14	35897
52036	10254	01 dB Italia	SOLO VN	Fonometro	OMNISERVICE S.r.l.	Franchin	AUTORIMESSA PAVESE PARKING SRL	Milano (MI)	17/02/2014 17:08	35898
53772	30312	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Bongiovanni	MILANO INDUSTRIAL SPA	Milano (MI)	12/03/2014 13:40	35758
49128	30337	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Franchin	AUTOFFICINA MARTINELLI	Bergamo (BG)	09/01/2014 14:04	35697
57712	30352	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Franchin	CAMMARANO S.N.C	Varese (VA)	28/05/2014 11:51	38932
49295	30384	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Franchin	AUTOBLACK COBRA S.R.L.	Milano (MI)	13/01/2014 13:57	35694
60775	30536	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Rulli	TRAINI SANTO SRL	Bergamo (BG)	27/08/2014 15:03	38899
49961	30581	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Franchin	A.R.P.A SNC	Milano (MI)	21/01/2014 08:43	35721
65900	30698	01 dB Italia	Sip 95 SB	Fonometro+Calibratore	OMNISERVICE S.r.l.	Vicidomini	NOVACAST CAGNONI SRL	Pavia (PV)	28/11/2014 07:41	43737
57635	110032	Corghi	PT 400	Prova giochi	OMNISERVICE S.r.l.	Bongiovanni	PEDROTTI SRL	Trento (TN)	27/05/2014 15:49	38929
62723	112428	Marte	PG 40	Prova giochi	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:31	43668
60970	112896	Marte	PG 40	Prova giochi	OMNISERVICE S.r.l.	Franchin	AUTOFFICINA FUDA DI FUDA G.& C. SNC	Monza e Brianza (MB)	02/09/2014 16:20	38819
59862	112967	Rotary Lift	PG 40	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	BONALUMI GOMME S.R.L	Bergamo (BG)	15/07/2014 14:51	38884
66193	150028	Corghi	BT800	Prova freni	OMNISERVICE S.r.l.	Franchin	PADANA SRL	Lodi (LO)	04/12/2014 15:54	43891
61642	150076	Corghi	BT800	Prova freni	OMNISERVICE S.r.l.	Vicidomini	CARROZZERIA TONOLLI SNC	Mantova (MN)	17/09/2014 09:53	38850
59375	150085	Corghi	BT800	Prova freni	OMNISERVICE S.r.l.	Vicidomini	GATTI ALESSANDRO	Ferrara (FE)	01/07/2014 17:43	38874
57228	150093	Corghi	BT800	Prova freni	OMNISERVICE S.r.l.	Franchin	1°CENTRO TECNICO MARMITTE SRL	Milano (MI)	20/05/2014 14:14	39070
49065	152995	Cz Sincro	DB2	Contagiri	OMNISERVICE S.r.l.	Rulli	GRAF DI ARIOLDI GIACOMO E C. SAS	Bergamo (BG)	08/01/2014 17:38	35705
50092	167236	Tecnotest	495/01	Opacimetro	OMNISERVICE S.r.l.	Rulli	CONSORZIO DEKRA REVISIONI	Milano (MI)	21/01/2014 15:31	35872
50093	167236	Tecnotest	CGOP	Contagiri	OMNISERVICE S.r.l.	Rulli	CONSORZIO DEKRA REVISIONI	Milano (MI)	21/01/2014 15:39	35873
63595	193051	Werther	PG 4M	Prova giochi	OMNISERVICE S.r.l.	Franchin	AUTOFFICINA CHINOTTO	Milano (MI)	16/10/2014 15:00	43902
60130	195464	Werther	PG 4M	Prova giochi	OMNISERVICE S.r.l.	Franchin	S.R. MOTORS S.R.L.	Milano (MI)	22/07/2014 12:12	38970
59913	197081	Werther	PG 4M	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	AUTOSILANO	Milano (MI)	16/07/2014 09:16	38829
61274	200408	Cz	C1000	Contagiri	OMNISERVICE S.r.l.	Bongiovanni	BRIZZOLARI GREENTECH	Bergamo (BG)	09/09/2014 16:32	43948
62724	256463	Tecnotest	91CPE	Prova freni	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:35	43669
62719	276884	Tecnotest	SMOKE 2000	Opacimetro	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:06	43664
62726	293258	Tecnotest	432 O	Prova fari	OMNISERVICE S.r.l.	Franchin	AUTO 90 EVOLUTION S.R.L.	Milano (MI)	03/10/2014 16:41	43671
63813	349784	Maha	LMS20	Prova giochi	OMNISERVICE S.r.l.	Vicidomini	VOLVO ITALIA S.P.A.	Bergamo (BG)	20/10/2014 10:54	43703
